,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
599,2020_04_25,-34.5596617,-58.4572798,https://departamento.mercadolibre.com.ar/MLA-850547699-departamentos-alquiler-temporal-belgrano-_JM,Departamentos Alquiler Temporal Belgrano,Departamento,28800.0,ARS,40,2
600,2020_04_25,-34.624115,-58.377084,https://departamento.mercadolibre.com.ar/MLA-850551183-2-amb-vista-panoramica-usado-buen-estado-_JM,"2 Amb Vista Panorámica ,usado Buen Estado.",Departamento,14900.0,ARS,39,2
601,2020_04_25,-34.621855,-58.36925,https://departamento.mercadolibre.com.ar/MLA-850554662-alquiler-2-ambamoblado-balcon-bjasexpen-santelmo-_JM,Alquiler 2 Amb.amoblado Balcon Bjas.expen Santelmo,Departamento,20000.0,ARS,48,2
604,2020_04_25,-34.5840922,-58.4127945,https://departamento.mercadolibre.com.ar/MLA-850601793-departamentos-alquiler-palermo-_JM,Departamentos Alquiler Palermo,Departamento,16000.0,ARS,40,2
605,2020_04_25,-34.6177808,-58.3715938,https://departamento.mercadolibre.com.ar/MLA-850619486-san-telmo-departamento-2-ambientes-tipo-loft-alquiler-temporario-_JM,"San Telmo, Departamento 2 Ambientes Tipo Loft, Alquiler Temporario.",Departamento,25000.0,ARS,58,2
608,2020_04_25,-34.5629813,-58.4643118,https://departamento.mercadolibre.com.ar/MLA-850620252-2-ambientes-av-ricardo-balbin-al-2300-_JM,2 Ambientes | Av. Ricardo Balbin Al 2300,Departamento,21000.0,ARS,51,2
610,2020_04_25,-34.5609042,-58.4436884,https://departamento.mercadolibre.com.ar/MLA-850620269-departamento-belgrano-chico-_JM,Departamento - Belgrano Chico,Departamento,1600.0,USD,100,2
615,2020_04_25,-34.6095157,-58.3968487,https://departamento.mercadolibre.com.ar/MLA-850666418-departamento-congreso-2-ambientes-excelente-ubicacion-listo-para-habitar-_JM,Departamento - Congreso  2 Ambientes Excelente Ubicacion Listo Para Habitar.,Departamento,17000.0,ARS,51,2
624,2020_04_25,-34.578485,-58.4858649,https://departamento.mercadolibre.com.ar/MLA-850690821-hermoso-departamento-en-alquiler-de-2-ambientes-en-villa-urquiza-_JM, Hermoso Departamento En Alquiler De 2 Ambientes  En Villa Urquiza,Departamento,21000.0,ARS,45,2
625,2020_04_25,-34.5939699,-58.518831,https://departamento.mercadolibre.com.ar/MLA-850700014-departamento-villa-devoto-_JM,Departamento - Villa Devoto,Departamento,19000.0,ARS,72,2
626,2020_04_25,-34.5773065,-58.4372521,https://departamento.mercadolibre.com.ar/MLA-850708612-alquiler-temporario-en-palermo-hollywood-_JM,Alquiler Temporario En Palermo Hollywood,Departamento,45000.0,ARS,46,2
634,2020_04_25,-34.5840922,-58.4127945,https://departamento.mercadolibre.com.ar/MLA-850740100-departamentos-alquiler-barrio-norte-_JM,Departamentos Alquiler Barrio Norte,Departamento,16000.0,ARS,40,2
636,2020_04_25,-34.6304636,-58.4510247,https://departamento.mercadolibre.com.ar/MLA-850740466-departamentos-alquiler-caballito-_JM,Departamentos Alquiler Caballito,Departamento,27000.0,USD,60,2
637,2020_04_25,-34.6308305,-58.4548345,https://departamento.mercadolibre.com.ar/MLA-850744474-departamentos-alquiler-flores-_JM,Departamentos Alquiler Flores,Departamento,22000.0,ARS,43,2
641,2020_04_25,-34.6217621,-58.4435844,https://departamento.mercadolibre.com.ar/MLA-850753601-departamentos-alquiler-caballito-_JM,Departamentos Alquiler Caballito,Departamento,15900.0,ARS,42,2
642,2020_04_25,-34.5566223,-58.4462661,https://departamento.mercadolibre.com.ar/MLA-850753824-migueletes-2000-a-nuevo-alquiler-2-ambientes-belgrano-_JM,Migueletes 2000 A Nuevo Alquiler 2 Ambientes Belgrano,Departamento,23000.0,ARS,46,2
644,2020_04_25,-34.6369738,-58.4838628,https://departamento.mercadolibre.com.ar/MLA-850755182-departamentos-alquiler-floresta-_JM,Departamentos Alquiler Floresta,Departamento,18000.0,ARS,44,2
645,2020_04_25,-34.5697418,-58.4329613,https://departamento.mercadolibre.com.ar/MLA-850757943-departamento-las-canitas-_JM,Departamento - Las Cañitas,Departamento,33000.0,ARS,58,2
650,2020_04_25,-34.6289813,-58.439449,https://departamento.mercadolibre.com.ar/MLA-850779408-departamentos-alquiler-caballito-_JM,Departamentos Alquiler Caballito,Departamento,18000.0,ARS,54,2
658,2020_04_25,-34.5794167,-58.4112346,https://departamento.mercadolibre.com.ar/MLA-850826661-alquiler-temporal-ph-boulevard-cervino-palermo-chico-_JM,Alquiler Temporal Ph Boulevard Cerviño Palermo Chico,Departamento,36000.0,ARS,60,2
659,2020_04_25,-34.5781775,-58.4493075,https://departamento.mercadolibre.com.ar/MLA-850828794-departamentos-alquiler-temporal-colegiales-_JM,Departamentos Alquiler Temporal Colegiales,Departamento,750.0,USD,42,2
665,2020_04_25,-34.5931621,-58.381511,https://departamento.mercadolibre.com.ar/MLA-850842233-alquiler-temporario-en-capital-federal-_JM,Alquiler Temporario En Capital Federal,Departamento,43000.0,ARS,45,2
